Billing Cycle,Enterprise Project,Enterprise Project ID,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Credit Payment (USD),Cash Coupon Used (USD),Arrears (USD),Written Off (USD)
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","hk-customer-dailybackup","","",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"download.external","Download_Standard Storage.External","0.11800000","Dollar/1GB","4500","Byte",--,"0","0.00000030","0.00000030","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","eac-db-backup","","Name:EAC;",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"size","Capacity","0.00003200","Dollar/1GB","0","Byte","29133848692982","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-36271-0--0","Pay-per-Use","Expenditure-use","f15b791d6ecc4527a701abf266d58243","CPU_Usage_80","",--,"SMN","ap-southeast-2","AP-Bangkok",--,"downflow","Downstream bandwidth","0.15300000","Dollar/1GB","119664","Byte",--,"0","0.00001705","0.00000682","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-34661-0--0","Pay-per-Use","Expenditure-use","ab87bf33-f91f-48bf-918b-2d75354ad528","SHI_SAC","","12_bgp","Dynamic BGP|traffic","ap-southeast-2","AP-Bangkok",--,"upflow","Upstream bandwidth","0.10800000","Dollar/1GB","167904110","Byte",--,"0","0.01688743","0.00591100","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ebs","Elastic Volume Service","hws.resource.type.volume","Elastic Volume Service","00301-34963-0--0","Pay-per-Use","Expenditure-use","17a6f366-6732-41d7-b6ba-d9012093709a","S4APP_USR_SAP","","SAS","High IO|50GB","ap-southeast-2","AP-Bangkok",--,"Duration","Duration","0.00010000","Dollar/1Hour","74408","Second",--,"0","0.10334441","0.04133776","0.05","0.00","0.05","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.cbr","Cloud Backup and Recovery","hws.resource.type.cbr.vault","Vault","00301-103320-0--0","Pay-per-Use","Expenditure-use","5aec5e9f-282e-4881-bba6-eddb39229fff","VCS_HKK_SBV","Project:HongKong_Common;","vault.backup.server.normal","Cloud Server Backup Vault|800GB","ap-southeast-1","AP-Hong Kong",--,"duration","Duration","0.00005000","Dollar/1Hour","1238400","Second",--,"0","13.76000000","5.50400000","8.17","0.00","8.17","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0","Pay-per-Use","Expenditure-use","vgm-cts-hkk","","Service:CloudTrace;",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"size","Capacity","0.00003200","Dollar/1GB","0","Byte","159358162355","0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-01073-0--0","Pay-per-Use","Expenditure-use","1641b9f1-7027-4ff9-8fcf-c5b740b94f56","vpngw-2799d033-aedf-4485-97b2-93510fe27f6a","","12_bgp","Dynamic BGP|traffic","ap-southeast-1","AP-Hong Kong",--,"upflow","Upstream bandwidth","0.15300000","Dollar/1GB","530942782160","Byte",--,"0","75.65528324","26.47935037","46.61","0.00","46.61","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ims","Image Management Service","hws.resource.type.ims","Image Management Service","00301-111036-0--0","Pay-per-Use","Expenditure-use","4e412b9a-8d7b-4117-b608-8885a8973a12","EAC_HANABK","","private.image","private image|13.135914GB","ap-southeast-1","AP-Hong Kong",--,"duration","Duration","0.00000000","Dollar/1Hour","2592000","Second",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ims","Image Management Service","hws.resource.type.ims","Image Management Service","00301-53554-0--0","Pay-per-Use","Expenditure-use","7b2989df-4746-4bf1-94ab-6f9f1148bf05","SLES15_for_SAP","","private.image","private image|2.000839GB","cn-south-1","CN South-Guangzhou",--,"duration","Duration","0.00000000","Dollar/1Hour","2592000","Second",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
